bracket_content,normalized_content,match_index_in_title,keyword,platform,pid,name,price,status,link
아이폰 17프로 맥스,아이폰 17프로 맥스,1,아이폰 17 프로 맥스,번개장터,398838007,[아이폰 17프로 맥스] 케이스티파이 뚜비 케이스,95000,판매중,https://m.bunjang.co.kr/products/398838007
아이폰 17프로맥스,아이폰 17프로맥스,1,아이폰 17 프로 맥스,번개장터,398887144,[아이폰 17프로맥스] 어반소피스티케이션 일괄 피젯 케이스,160000,판매중,https://m.bunjang.co.kr/products/398887144
중고,중고,1,아이폰 17 프로 맥스,중고나라,228247689,[중고] SMALLRIG IPHONE 17 PRO MAX DUAL HANDHELD KIT,90000,판매중,https://web.joongna.com/product/228247689
새제품,새제품,1,아이폰 17 프로 맥스,중고나라,225052226,아이폰17 프로맥스 맥세이프 정품케이스 [새제품],44000,판매중,https://web.joongna.com/product/225052226
애플,애플,1,아이폰 17 프로 맥스,중고나라,223135776,[애플] 아이폰17 프로 맥스 정품 케이스,39000,판매중,https://web.joongna.com/product/223135776
소품용,소품용,1,아이폰 17 프로 맥스,중고나라,225549478,"[소품용] 아이폰17프로,프로맥스 박스",19000,판매중,https://web.joongna.com/product/225549478
소품용,소품용,1,아이폰 17 프로 맥스,중고나라,225549294,"[소품용] 아이폰17프로,프로맥스 박스",19000,판매중,https://web.joongna.com/product/225549294
새제품,새제품,1,아이폰 17 프로 맥스,중고나라,225912771,[새제품]케이스티파이 주토피아 닉 아이폰17프로맥스,51000,거래완료,https://web.joongna.com/product/225912771
KT,KT,1,아이폰 17 프로,번개장터,355977744,[KT]아이폰17프로(새상품/전색상/애플케어),1062000,판매중,https://m.bunjang.co.kr/products/355977744
알뜰통신사,알뜰통신사,1,아이폰 17 프로,번개장터,355959302,[알뜰통신사]아이폰17프로(새상품/전색상/정품),1282000,판매중,https://m.bunjang.co.kr/products/355959302
SKT,SKT,1,아이폰 17 프로,번개장터,355977411,[SKT]아이폰17프로(새상품/전색상/애플케어),1062000,판매중,https://m.bunjang.co.kr/products/355977411
KT,KT,1,아이폰 17 프로,번개장터,355958681,[KT]아이폰17프로(새상품/전색상/미개봉 얼리버드 특가),1032000,판매중,https://m.bunjang.co.kr/products/355958681
LG,LG,1,아이폰 17 프로,번개장터,355978022,[LG]아이폰17프로(새상품/전색상/애플케어),1062000,판매중,https://m.bunjang.co.kr/products/355978022
알뜰통신사,알뜰통신사,1,아이폰 17 프로,번개장터,355978409,[알뜰통신사]아이폰17프로(새상품/전색상/애플케어),1312000,판매중,https://m.bunjang.co.kr/products/355978409
SKT,SKT,1,아이폰 17 프로,번개장터,355958295,[SKT]아이폰17프로(새상품/전색상/미개봉 얼리버드 특가),1032000,판매중,https://m.bunjang.co.kr/products/355958295
LG,LG,1,아이폰 17 프로,번개장터,355959003,[LG]아이폰17프로(새상품/전색상/정품),1032000,판매중,https://m.bunjang.co.kr/products/355959003
미사용/새상품,미사용/새상품,1,아이폰 17 프로,번개장터,394159868,"[미사용/새상품]아이폰17에어 재고정리 할인[13,14,15,16,프로]",410000,판매중,https://m.bunjang.co.kr/products/394159868
"13,14,15,16,프로","13,14,15,16,프로",2,아이폰 17 프로,번개장터,394159868,"[미사용/새상품]아이폰17에어 재고정리 할인[13,14,15,16,프로]",410000,판매중,https://m.bunjang.co.kr/products/394159868
미사용/새상품,미사용/새상품,1,아이폰 17 프로,번개장터,394158623,"[미사용/새상품] 아이폰16프로 재고정리 할인 [13,14,15,17]",370000,판매중,https://m.bunjang.co.kr/products/394158623
"13,14,15,17","13,14,15,17",2,아이폰 17 프로,번개장터,394158623,"[미사용/새상품] 아이폰16프로 재고정리 할인 [13,14,15,17]",370000,판매중,https://m.bunjang.co.kr/products/394158623
미사용/새상품,미사용/새상품,1,아이폰 17 프로,번개장터,394160573,"[미사용/새상품] 아이폰17프로 재고정리 할인 [13,14,15,16]",610000,판매중,https://m.bunjang.co.kr/products/394160573
"13,14,15,16","13,14,15,16",2,아이폰 17 프로,번개장터,394160573,"[미사용/새상품] 아이폰17프로 재고정리 할인 [13,14,15,16]",610000,판매중,https://m.bunjang.co.kr/products/394160573
미사용/새상품,미사용/새상품,1,아이폰 17 프로,번개장터,394159506,"[미사용/새상품] 아이폰17 재고정리 할인 [13,14,15,16,프로]",110000,판매중,https://m.bunjang.co.kr/products/394159506
"13,14,15,16,프로","13,14,15,16,프로",2,아이폰 17 프로,번개장터,394159506,"[미사용/새상품] 아이폰17 재고정리 할인 [13,14,15,16,프로]",110000,판매중,https://m.bunjang.co.kr/products/394159506
미사용/새상품,미사용/새상품,1,아이폰 17 프로,번개장터,394157319,"[미사용/새상품] 아이폰16 재고정리 할인 [13,14,15,17,프로]",90000,판매중,https://m.bunjang.co.kr/products/394157319
"13,14,15,17,프로","13,14,15,17,프로",2,아이폰 17 프로,번개장터,394157319,"[미사용/새상품] 아이폰16 재고정리 할인 [13,14,15,17,프로]",90000,판매중,https://m.bunjang.co.kr/products/394157319
품번 170,품번 170,1,아이폰 17 프로,번개장터,406314466,배터리90 A+급 아이폰16프로 128G 블랙 [품번 170],1040000,판매중,https://m.bunjang.co.kr/products/406314466
품번 170,품번 170,1,아이폰 17 프로,번개장터,406297268,배터리90 A+급 아이폰16프로 128G 블랙 [품번 170],1040000,판매중,https://m.bunjang.co.kr/products/406297268
미사용/새상품,미사용/새상품,1,아이폰 17 프로,번개장터,394158159,"[미사용/새상품]아이폰16플러스 재고정리 할인[13,14,15,17프로]",190000,판매중,https://m.bunjang.co.kr/products/394158159
"13,14,15,17프로","13,14,15,17프로",2,아이폰 17 프로,번개장터,394158159,"[미사용/새상품]아이폰16플러스 재고정리 할인[13,14,15,17프로]",190000,판매중,https://m.bunjang.co.kr/products/394158159
미사용/새상품,미사용/새상품,1,아이폰 17 프로,번개장터,394155965,"[미사용/새상품] 아이폰15프로 재고정리 할인 [13,14,16,17]",290000,판매중,https://m.bunjang.co.kr/products/394155965
"13,14,16,17","13,14,16,17",2,아이폰 17 프로,번개장터,394155965,"[미사용/새상품] 아이폰15프로 재고정리 할인 [13,14,16,17]",290000,판매중,https://m.bunjang.co.kr/products/394155965
미사용/새상품,미사용/새상품,1,아이폰 17 프로,번개장터,394153402,"[미사용/새상품] 아이폰15 재고정리 할인 [13,14,16,17,프로]",70000,판매중,https://m.bunjang.co.kr/products/394153402
