keyword,platform,pid,name,cluster_product_name,price_numeric,status,link,cluster_name_text,tokenized_cluster_name_text,c1,c2,c3,c4,c5,c6,c7,c8
갤럭시,번개장터,219157132,갤럭시j3 블루,갤럭시 j3,40000,판매중,https://m.bunjang.co.kr/products/219157132,갤럭시j3,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,386319158,갤럭시J3 블루,갤럭시 j3,40000,판매중,https://m.bunjang.co.kr/products/386319158,갤럭시j3,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,411808356,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/411808356,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,411850245,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/411850245,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,411850747,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/411850747,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,411922455,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/411922455,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,411923076,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/411923076,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,411992033,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/411992033,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,411992193,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/411992193,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412014492,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412014492,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412014991,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412014991,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412081245,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412081245,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412082148,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412082148,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412154564,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412154564,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412155397,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412155397,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412251707,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412251707,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412251808,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412251808,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412270225,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412270225,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412270688,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412270688,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
갤럭시,번개장터,412423640,갤럭시 J330블랙 무잔상 A급 정상공기기 중고폰,갤럭시 j3,50000,판매중,https://m.bunjang.co.kr/products/412423640,갤럭시 j330,갤럭시 j3,갤럭시,j3,,,,,,
