keyword,cluster_id,representative_name,original_representative_name,item_count,min_price,median_price,average_price,max_price,sample_names,original_sample_names
아이폰,396,아이폰 14 레드,아이폰 14 레드 128GB,4,140000,245000.0,245000.0,350000,아이폰 8 플러스 레드 | 아이폰 14 레드 | 아이폰 8 레드 | 아이폰 13 레드,아이폰 8 플러스 레드 64gb 팝니다 | 아이폰 14 레드 128GB | 아이폰 8 레드 64GB | 아이폰 13 레드 128gb
아이폰,492,서울 아이폰11 프로 프로 256기가 골드,서울 아이폰11  PRO 프로 256기가 골드 팝니다.,4,210000,245000.0,247500.0,290000,서울 아이폰11 프로 프로 256기가 골드 | 서울 아이폰 11 프로 프로 256기가 그린 | 아이폰11 프로 프로 256기가 스페이스그레이 | 애플 아이폰 11 프로 256기가 미드나잇그린,서울 아이폰11  PRO 프로 256기가 골드 팝니다. | 서울 아이폰 11 PRO 프로 256기가 그린 팝니다. | 아이폰11 pro 프로 256기가 스페이스그레이 | 애플 아이폰 11 프로 256기가 미드나잇그린
아이폰,28,아이폰11 퍼플 배터리100 부산 폰 진주 남지 전주,아이폰11 64GB 퍼플 배터리100 부산중고폰 진주 남지 전주,4,180000,250000.0,257500.0,350000,아이폰11 퍼플 배터리100 부산 폰 진주 남지 전주 | 아이폰11 레드 배터리100 부산 폰 여수 거제 고성 | 아이폰7 블랙 배터리100 부산 폰 인천 경기 경주 | 아이폰11프로 배터리100 부산 폰 인천 춘천 충주,아이폰11 64GB 퍼플 배터리100 부산중고폰 진주 남지 전주 | 아이폰11 64GB 레드 배터리100 부산중고폰 여수 거제 고성 | 아이폰7 128GB 블랙 배터리100 부산중고폰 인천 경기 경주 | 아이폰11프로 256GB 배터리100 부산중고폰 인천 춘천 충주
아이폰,418,완납폰 제휴카드x 아이폰15시리즈 쓰던 유심 그대로 교체,[새상품/완납폰/제휴카드X]아이폰15시리즈 쓰던 유심 그대로 교체,4,159000,293500.0,286000.0,398000,완납폰 제휴카드x 아이폰14프로 프로맥스 쓰던 유심 그대로 교체 | 완납폰 제휴카드x 아이폰15시리즈 쓰던 유심 그대로 교체 | 완납폰 아이폰16 e 일반 플러스 프로 프로맥스 쓰던 유심 그대로 교체 | 완납폰 제휴카드x 아이폰16e 쓰던 유심 그대로 교체,[새상품/완납폰/제휴카드X]아이폰14프로/프로맥스 쓰던 유심 그대로 교체 | [새상품/완납폰/제휴카드X]아이폰15시리즈 쓰던 유심 그대로 교체 | [완납폰]아이폰16[E/일반/플러스/프로/프로맥스]쓰던 유심 그대로 교체 | [새상품/완납폰/제휴카드X]아이폰16E 쓰던 유심 그대로 교체
아이폰,282,애플 new아이폰16 전색상 재입고 화이트 블랙 빠른품절 예상,[애플]NEW아이폰16 전색상 재입고판매중 (화이트/블랙)빠른품절 예상,4,198000,343450.0,320925.0,398800,apple 아이폰16 전색상 재입고 화이트 블랙 빠른 품절됩니다 | apple 아이폰16플러스 재입고 빠른품절 번개톡 문의주세요 | 애플 new아이폰16 전색상 재입고 화이트 블랙 빠른품절 예상 | 전색상 아이폰15 핑크색상 재입고 품절임박 번개톡 문의주세요,[Apple]아이폰16 미개봉 전색상 재입고 화이트/블랙 빠른 품절됩니다 | [Apple]아이폰16플러스 재입고 빠른품절 번개톡 문의주세요 | [애플]NEW아이폰16 전색상 재입고판매중 (화이트/블랙)빠른품절 예상 | [풀박스/전색상]아이폰15 핑크색상 재입고 품절임박 번개톡 문의주세요
아이폰,730,와구와 유 고객님 아이폰 17,와구와*유 고객님 (아이폰 17 256G),4,290000,365000.0,392500.0,550000,염소 5 고객님 아이폰 17 | 상점7741663 호 고객님 아이폰 17 e | 네축구화 놔 고객님 아이폰 17 | 와구와 유 고객님 아이폰 17,염소*5 고객님 (아이폰 17 256G) | 상점7741663*호 고객님 (아이폰 17 E 256G) | 네축구화*놔 고객님 (아이폰 17 256G) | 와구와*유 고객님 (아이폰 17 256G)
아이폰,415,외관a급 아이폰13 스타라이트 128 85 y1894,(외관A급)아이폰13 스타라이트 128/85% Y1894,4,335000,367000.0,367000.0,399000,외관a급 액정s급 아이폰13미니 핑크 128 80 y1895 | 외관a급 아이폰13 스타라이트 128 85 y1894,"(외관A급,액정S급)아이폰13미니 핑크 128/80% Y1895 | (외관A급)아이폰13 스타라이트 128/85% Y1894"
아이폰,35,26 4 6순정 ssss급아이폰se1실버128기가배터리100퍼,26.4.6순정정품SSSS급아이폰se1실버128기가배터리100퍼,4,220000,385000.0,352500.0,420000,26 2 12순정 ss급아이폰se1스페이스그레이128기가배터리100퍼 | 26 6 1올쌩순정 ssss급아이폰se1로즈골드128 배터리91 | 26 4 6순정 ssss급아이폰se1실버128기가배터리100퍼 | 26 6 1순정 b급아이폰se1실버128기가배터리100퍼,26.2.12순정정품SS급아이폰se1스페이스그레이128기가배터리100퍼 | 26.6.1올쌩순정정품SSSS급아이폰se1로즈골드128정품배터리91풀박스 | 26.4.6순정정품SSSS급아이폰se1실버128기가배터리100퍼 | 26.6.1순정정품B급아이폰se1실버128기가배터리100퍼풀박스
아이폰,324,아이폰14프로 실버 83 y1877,아이폰14프로 실버 128GB/83% Y1877,4,452000,511000.0,511000.0,570000,아이폰14프로 실버 83 y1877 | 액정a급 아이폰14블루 128 83 y1856,아이폰14프로 실버 128GB/83% Y1877 | (액정A급)아이폰14블루 128/83% Y1856
아이폰,313,아이폰13프로맥스 128,아이폰13프로맥스 128 판매,4,450000,530000.0,522500.0,580000,아이폰13프로맥스 시에라 블루 | 아이폰13프로맥스 128 | 아이폰13프로맥스 스페이스그레이 | 아이폰13프로맥스 256 배터리100,아이폰13프로맥스 시에라 블루 128gb | 아이폰13프로맥스 128 판매 | 아이폰13프로맥스 스페이스그레이 256G | 아이폰13프로맥스 256 배터리100
아이폰,408,아이폰14프로 256기가 실버 s급 배터리98 0602,"아이폰14프로 256기가 실버 (S급,배터리98) / 0602",4,560000,570000.0,570000.0,580000,아이폰14프로 256기가 실버 s급 배터리98 0602 | 아이폰14프로 128기가 퍼플 s급 배터리98 0602,"아이폰14프로 256기가 실버 (S급,배터리98) / 0602 | 아이폰14프로 128기가 퍼플 (S급,배터리98) / 0602"
아이폰,683,아이폰16e 블랙 a3409 깨끗한 무잔상,아이폰16E 128G 블랙(A3409) 깨끗한 무잔상 판매합니다,4,550000,580000.0,572500.0,580000,아이폰16e 블랙 a3409 깨끗한 무잔상,아이폰16E 128G 블랙(A3409) 깨끗한 무잔상 판매합니다
아이폰,293,마크제이콥스 아이폰5 케이스 실리콘,마크제이콥스 아이폰5 케이스 (실리콘),3,25000,25000.0,26666.666666666668,30000,마크제이콥스 아이폰5 케이스 실리콘 | 모스키노 아이폰5 곰돌이케이스 실리콘 | 모스키노 아이폰5 토끼케이스 실리콘,마크제이콥스 아이폰5 케이스 (실리콘) | 모스키노 아이폰5 곰돌이케이스(실리콘) | 모스키노 아이폰5 토끼케이스(실리콘)
아이폰,24,아이폰14 새액정 lcd를,아이폰14 새액정 LCD를 팝니다.,3,25000,28000.0,27666.666666666668,30000,아이폰 12 프로맥스 lcd 액정 gx | 아이폰14 새액정 lcd를 | 아이폰 3gs 액정 lcd,아이폰 12 프로맥스 LCD 액정 GX | 아이폰14 새액정 LCD를 팝니다. | 아이폰 3Gs  중고액정 LCD
아이폰,576,유니클로청바지,유니클로청바지,3,23000,29000.0,30633.333333333332,39900,청바지 카고 바지 통바지 | 바이너리원 흑청바지 오버핏 | 유니클로청바지,청바지 카고 바지 통바지 | 바이너리원 흑청바지 오버핏 | 유니클로청바지
아이폰,87,아이폰 se 8 7 tech21 pure clear case,"아이폰 SE,8,7 Tech21 Pure Clear Case 판매합니다",3,25530,30000.0,48510.0,90000,원가양도 esse님 angel case 에폭시 아이폰 14 sak | 아이폰 se 8 7 tech21 pure clear case | 아이폰 16 case,"(원가양도) esse님 angel case 에폭시 아이폰 14 / sak | 아이폰 SE,8,7 Tech21 Pure Clear Case 판매합니다 | 아이폰 16 case"
아이폰,199,그래그케이스 아이폰 17,(급처) 그래그케이스 아이폰 17,3,30000,30000.0,31666.666666666668,35000,그래그케이스 아이폰 17 | 그래그 폰케이스 아이폰17프로 | 그래그 아이폰 17 케이스,(급처) 그래그케이스 아이폰 17 | 그래그 폰케이스(아이폰17프로) | 그래그 아이폰 17 케이스
아이폰,534,케이스티파이 아이폰16프로케이스,케이스티파이 아이폰16프로케이스,3,27000,30000.0,35666.666666666664,50000,케이스티파이 아이폰17프로케이스 | 케이스티파이 하트 아이폰 16프로케이스 | 케이스티파이 아이폰16프로케이스,케이스티파이 아이폰17프로케이스 | 케이스티파이 하트 아이폰 16프로케이스 | 케이스티파이 아이폰16프로케이스
아이폰,53,아이폰 안드로이 스마트 워치,아이폰 안드로이 스마트 워치,3,22000,35000.0,35333.333333333336,49000,미사용 스마트워치 rohs 애플워치 안드로이드 아이폰 시계 | 블루투스 무선 컨트롤러 조이스틱 pc 닌텐도 스위치 안드로이드 아이폰 | 아이폰 안드로이 스마트 워치,*새상품 미사용 스마트워치 ROHS 애플워치 안드로이드 아이폰 시계 | 블루투스 무선 컨트롤러 조이스틱 PC/닌텐도 스위치/안드로이드/아이폰 | 아이폰 안드로이 스마트 워치
아이폰,340,아이포리아 iphoria 아이폰 x xs 폰케이스,아이포리아 Iphoria 아이폰 X/XS 폰케이스 (새상품),3,30000,35000.0,35000.0,40000,iphoria 아이폰x 10 케이스 | 아이포리아 iphoria 아이폰 x xs 폰케이스,IPHORIA 아이폰X(10) 정품 케이스 판매합니다. | 아이포리아 Iphoria 아이폰 X/XS  폰케이스 | 아이포리아 Iphoria 아이폰 X/XS 폰케이스 (새상품)
아이폰,525,일본 모형폰 소니에릭슨 bravia 폴더폰 s004,일본 모형폰 소니에릭슨 BRAVIA 폴더폰 S004,3,32000,36000.0,37000.0,43000,일본 모형폰 소니에릭슨 bravia 폴더폰 s004 | 일본모형폰 softbank viera 회전 폴더폰 | 일본 모형폰 au 쥬얼리 화이트퀼팅 퀼트폰,일본 모형폰 소니에릭슨 BRAVIA 폴더폰 S004 | 일본모형폰 Softbank VIERA 회전 폴더폰 | 일본 모형폰 au 쥬얼리 화이트퀼팅 퀼트폰
아이폰,138,액세서리 애플 아이폰 17 프로,액세서리 - 애플 아이폰 17 프로,3,30000,40000.0,70000.0,140000,애플 아이폰 17 프로 액세서리 | 스몰리그 아이폰 17 프로 듀얼 핸들 리그 | 액세서리 애플 아이폰 17 프로,애플 아이폰 17 프로 - 액세서리 | 스몰리그 아이폰 17 Pro 듀얼 핸들 리그 | 액세서리 - 애플 아이폰 17 프로
아이폰,267,아이폰 16플러스 맥세이프 케이스,아이폰 16플러스 맥세이프 케이스,3,25000,40000.0,43333.333333333336,65000,한정판s2 케이스티파이x짱구 오프라인 케이스 아이폰16플러스 | 아이폰 16플러스 맥세이프 케이스 | 아이폰16플러스 맥세이프 케이스,[한정판S2]케이스티파이X짱구 오프라인 케이스 아이폰16플러스 | 아이폰 16플러스 맥세이프 케이스 | 아이폰16플러스 정품 맥세이프 케이스
아이폰,553,케이스티파이 핸드폰 케이스 마블 원피스 몽키 d 루피 아이폰 15 프맥,케이스티파이 핸드폰 케이스 마블 원피스 몽키 D 루피 아이폰 15 프맥,3,32000,40000.0,38000.0,42000,케이스티파이 원피스 케이스 아이폰 16프로 | 케이스티파이 핸드폰 케이스 마블 원피스 몽키 d 루피 아이폰 15 프맥 | 케이스티파이 원피스 아이폰 13프로 케이스,케이스티파이 원피스 케이스 아이폰 16프로 | 케이스티파이 핸드폰 케이스 마블 원피스 몽키 D 루피 아이폰 15 프맥 | 케이스티파이 원피스 아이폰 13프로 케이스
